Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,Note
152,78.25,NIT,206,National Institute of Technology Calicut,4109,Civil Engineering,Y,Borderline,
153,78.25,GFTI,422,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,Y,No-data,
154,78.25,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4110,Computer Science and Engineering,Y,Good,
155,78.2,NIT,203,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,Y,SAFE,
156,78.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Y,Good,
157,77.8,NIT,223,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,Y,SAFE,
158,77.8,NIT,223,"National Institute of Technology, Rourkela",4169,Food Process Engineering,-,Out,
159,77.8,NIT,223,"National Institute of Technology, Rourkela",5509,Life Science,-,Out,
160,77.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Y,Good,
161,77.75,NIT,207,National Institute of Technology Delhi,4188,Artificial Intelligence and Data Science,Y,Out,
162,77.7,NIT,226,"National Institute of Technology, Tiruchirappalli",5101,Architecture,Y,Out,
163,77.7,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4124,Mathematics and Computing,Y,No-data,
164,77.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,Y,SAFE,
165,77.5,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,Y,SAFE,
166,77.45,NIT,220,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,Y,SAFE,
167,77.45,NIT,220,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,Y,SAFE,
168,77.25,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,Y,SAFE,
