Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
120,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,Y,OS,SAFE,1395,1501
121,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,Y,OS,Good,740,1577
122,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3C,Chemistry,Y,OS,No-data,,
123,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4117,Engineering Physics,Y,OS,SAFE,,2141
124,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3E,Mathematics,Y,OS,No-data,,
125,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3D,Physics,Y,OS,No-data,,
126,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,Y,OS,Reach,,795
127,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4124,Mathematics and Computing,Y,OS,No-data,,
128,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Y,OS,Good,685,1221
129,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,Y,OS,SAFE,,2208
130,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4146,Information Technology,Y,OS,Borderline,424,911
131,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,Y,OS,SAFE,,3780
132,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,Y,OS,SAFE,,2945
133,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,Y,OS,SAFE,,3875
134,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,Y,OS,Good,519,
135,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",5501,Applied Geology,Y,OS,No-data,,
136,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",5101,Architecture,Y,OS,Out,,
137,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4130,Mining Engineering,Y,OS,Out,,
138,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",5503,Chemistry,Y,OS,No-data,,
139,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",5507,Physics,-,OS,No-data,,
140,NIT,208,National Institute of Technology Durgapur,4110,Computer Science and Engineering,Y,OS,Out,162,406
141,NIT,208,National Institute of Technology Durgapur,411F,B.Tech in Mathematics and Computing,Y,OS,Borderline,430,
142,NIT,208,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Y,OS,Out,,506
143,NIT,208,National Institute of Technology Durgapur,4111,Electrical Engineering,Y,OS,Good,675,1478
144,NIT,208,National Institute of Technology Durgapur,4125,Mechanical Engineering,Y,OS,SAFE,961,1964
145,NIT,208,National Institute of Technology Durgapur,4107,Chemical Engineering,Y,OS,SAFE,936,1949
146,NIT,208,National Institute of Technology Durgapur,5257,Chemical Engineering,-,OS,Out,,
147,NIT,208,National Institute of Technology Durgapur,4109,Civil Engineering,Y,OS,SAFE,1009,
148,NIT,208,National Institute of Technology Durgapur,4127,Metallurgical and Materials Engineering,Y,OS,SAFE,1194,2331
149,NIT,208,National Institute of Technology Durgapur,5503,Chemistry,-,OS,Out,,
150,NIT,208,National Institute of Technology Durgapur,4104,Bio Technology,Y,OS,SAFE,1286,2040
151,NIT,208,National Institute of Technology Durgapur,5296,Biotechnology,-,OS,Out,,
152,NIT,203,Maulana Azad National Institute of Technology Bhopal,4110,Computer Science and Engineering,Y,OS,Out,136,253
153,NIT,203,Maulana Azad National Institute of Technology Bhopal,520F,Mathematics and Data Science,-,OS,Out,,
154,NIT,203,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Y,OS,Reach,304,636
155,NIT,203,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Y,OS,Good,570,1175
156,NIT,203,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,-,OS,Out,,
157,NIT,203,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,-,OS,No-data,,
158,NIT,203,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,Y,OS,SAFE,839,1945
159,NIT,203,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,Y,OS,SAFE,1403,827
160,NIT,203,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,Y,OS,Good,726,999
161,NIT,203,Maulana Azad National Institute of Technology Bhopal,4180,Materials and Metallurgical Engineering,Y,OS,No-data,,
162,NIT,203,Maulana Azad National Institute of Technology Bhopal,5101,Architecture,Y,OS,Out,,115
163,NIT,203,Maulana Azad National Institute of Technology Bhopal,522S,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),-,OS,Out,,
164,NIT,203,Maulana Azad National Institute of Technology Bhopal,4501,Planning,Y,OS,Out,,
165,NIT,220,"National Institute of Technology, Kurukshetra",4110,Computer Science and Engineering,Y,OS,Out,,93
166,NIT,220,"National Institute of Technology, Kurukshetra",5216,Computer Science and Engineering,Y,OS,Out,,
167,NIT,220,"National Institute of Technology, Kurukshetra",4188,Artificial Intelligence and Data Science,Y,OS,Out,,
168,NIT,220,"National Institute of Technology, Kurukshetra",410P,Artificial Intelligence and Machine Learning,Y,OS,Out,161,321
169,NIT,220,"National Institute of Technology, Kurukshetra",4124,Mathematics and Computing,Y,OS,Out,269,487
170,NIT,220,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Y,OS,Out,183,167
171,NIT,220,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Y,OS,Out,,
172,NIT,220,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Y,OS,Out,,
173,NIT,220,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Y,OS,Good,547,588
174,NIT,220,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Y,OS,Out,,373
175,NIT,220,"National Institute of Technology, Kurukshetra",4146,Information Technology,Y,OS,Out,111,
176,NIT,220,"National Institute of Technology, Kurukshetra",4125,Mechanical Engineering,Y,OS,SAFE,865,
177,NIT,220,"National Institute of Technology, Kurukshetra",5233,Mechanical Engineering,Y,OS,SAFE,,1990
178,NIT,220,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Y,OS,Good,655,1520
179,NIT,220,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,Y,OS,SAFE,,2564
180,NIT,220,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,Y,OS,SAFE,1108,924
