Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
142,IIIT,Indian Institute of Information Technology (IIIT) Pune,Computer Science and Engineering,18744,16952,18252,21029
143,NIT,"National Institute of Technology, Jamshedpur",Electrical Engineering,18828,20752,17387,18345
144,GFTI,"International Institute of Information Technology, Naya Raipur",Computer Science and Engineering,18898,19764,18080,18851
145,NIT,"National Institute of Technology, Warangal",Chemical Engineering,18955,20446,18833,17585
146,NIT,"National Institute of Technology, Tiruchirappalli",Civil Engineering,19047,20873,18965,17304
147,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Artificial Intelligence and Machine Learning,19131,18133,19251,20008
148,NIT,"National Institute of Technology, Kurukshetra",Mechanical Engineering,19202,,18205,20199
149,NIT,"National Institute of Technology, Rourkela",Chemical Engineering,19343,21037,18958,18034
150,NIT,National Institute of Technology Raipur,Electronics and Communication Engineering,19353,19191,18823,20044
151,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Electronics and Communication Engineering,19376,20213,19106,18809
152,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Electrical Engineering,19912,20904,19425,19406
153,NIT,National Institute of Technology Durgapur,Electrical Engineering,20305,21383,19559,19972
154,NIT,Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,20468,21758,19748,19897
155,NIT,"National Institute of Technology, Jamshedpur",Engineering and Computational Mechanics,20646,21415,19206,21317
156,NIT,National Institute of Technology Patna,Electronics and Communication Engineering,20760,21436,20286,20558
157,NIT,National Institute of Technology Agartala,Computer Science and Engineering,20804,20102,20298,22013
158,NIT,"National Institute of Technology, Warangal",Chemical Engineering,20805,,,20805
159,NIT,Maulana Azad National Institute of Technology Bhopal,Electrical Engineering,20883,21546,20334,20770
160,NIT,National Institute of Technology Calicut,Mechanical Engineering,20932,22734,20611,19452
161,NIT,National Institute of Technology Hamirpur,Electronics and Communication Engineering,20980,21405,19942,21593
162,NIT,Malaviya National Institute of Technology Jaipur,Mechanical Engineering,20981,22295,20436,20213
163,NIT,National Institute of Technology Meghalaya,Computer Science and Engineering,21096,19175,20039,24074
164,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electrical Engineering,21323,22308,21545,20115
165,IIIT,Indian Institute of Information Technology Guwahati,Computer Science and Engineering,21395,20625,20821,22739
166,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Electronics and Telecommunication Engineering,21734,21207,21078,22917
167,NIT,"National Institute of Technology, Silchar",Electronics and Instrumentation Engineering,22244,23084,21926,21722
