Rank,Type,Institute,Branch,Avg Gen-PwD close,Avg OBC-PwD close
220,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Electronics and Communication Engineering,1392,688
221,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Cyber Security,1393,934
222,GFTI,"International Institute of Information Technology, Bhubaneswar",Computer Engineering,1396,
223,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Computer Science and Engineering,1400,1042
224,IIIT,"Indian institute of information technology, Raichur, Karnataka",Artificial Intelligence and Data Science,1414,962
225,NIT,"National Institute of Technology, Uttarakhand",Civil Engineering,1429,
226,NIT,"National Institute of Technology, Silchar",Electronics and Instrumentation Engineering,1439,
227,NIT,National Institute of Technology Patna,Electronics Engineering (VLSI Design and Technology),1449,1151
228,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Security),1450,1316
229,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Computer Science and Engineering,1459,1205
230,GFTI,CU Jharkhand,Integrated B. Tech.- M. Tech in Metallurgical & Materials Engineering,,1461
231,NIT,"National Institute of Technology, Silchar",Mechanical Engineering,1477,1180
232,GFTI,"Jawaharlal Nehru University, Delhi",Electronics and Communication Engineering,1482,1060
233,NIT,National Institute of Technology Arunachal Pradesh,Biosciences and Bioengineering,,1485
234,NIT,"National Institute of Technology, Warangal",Metallurgical and Materials Engineering,1494,743
235,NIT,"National Institute of Technology, Silchar",Electrical Engineering,1497,747
236,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Electronics and Communication Engineering with specialization in Design and Manufacturing,1509,558
237,NIT,"National Institute of Technology, Mizoram",Electrical Engineering,,1512
238,NIT,National Institute of Technology Arunachal Pradesh,Mechanical Engineering,,1521
239,NIT,"National Institute of Technology, Andhra Pradesh",Civil Engineering,1523,1001
240,NIT,"National Institute of Technology, Rourkela",Bio Technology,1531,
241,NIT,National Institute of Technology Calicut,Materials Science and Engineering,1540,
242,NIT,National Institute of Technology Hamirpur,Chemical Engineering,1550,1796
243,NIT,National Institute of Technology Patna,Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering,1563,
244,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering (Cyber Security),1565,
245,NIT,National Institute of Technology Calicut,Production Engineering,1574,822
246,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Data Science and Artificial Intelligence,1577,1215
247,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics,1578,1370
248,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in VLSI Design,1579,
249,GFTI,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Computer Science Engineering (Artificial Intelligence),1580,1810
250,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,1581,1073
251,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering,1585,817
252,NIT,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,1586,750
253,GFTI,"International Institute of Information Technology, Bhubaneswar",Information Technology,1589,
254,IIIT,Indian Institute of Information Technology (IIIT) Pune,Electronics and Communication Engineering,1592,903
255,NIT,National Institute of Technology Goa,Civil Engineering,1603,
256,GFTI,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Computer Science and Engineering,1619,953
257,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Information Technology,1627,1230
258,GFTI,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",Animation and VFX,1628,
259,NIT,Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,1633,1143
260,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Civil Engineering,1635,
261,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,1646,1341
262,NIT,National Institute of Technology Durgapur,Mechanical Engineering,1648,841
263,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Civil Engineering,1648,1047
264,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Computer Science and Engineering,1656,
265,GFTI,"Puducherry Technological University, Puducherry",Mechanical Engineering,,1667
266,NIT,National Institute of Technology Durgapur,Bio Technology,1668,1180
267,NIT,National Institute of Technology Calicut,Engineering Physics,1671,
268,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence),1680,
269,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Physical System),1692,1551
270,NIT,National Institute of Technology Hamirpur,Electrical Engineering,1692,1216
271,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Electronics and Communication Engineering,1700,1422
272,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,Computer Science and Engineering,1705,1333
273,NIT,National Institute of Technology Raipur,Civil Engineering,1710,951
274,NIT,National Institute of Technology Meghalaya,Electronics and Communication Engineering,1713,
275,GFTI,"Puducherry Technological University, Puducherry",Chemical Engineering,,1716
276,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Computer Science and Engineering,1723,1405
277,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Civil Engineering,1727,842
278,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and Control Engineering,1743,1264
279,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Information Technology,1750,1398
280,NIT,National Institute of Technology Agartala,Electrical Engineering,1764,1162
281,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Computer Science and Engineering,1768,1237
282,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Mechanical Engineering,1771,907
283,GFTI,"School of Engineering, Tezpur University, Napaam, Tezpur",Civil Engineering,1786,
284,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Chemical Engineering,1791,1179
285,NIT,"National Institute of Technology, Rourkela",Metallurgical and Materials Engineering,1794,883
286,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Electronics and Communication Engineering,1813,1109
287,IIIT,Indian Institute of Information Technology Bhopal,Information Technology,1824,1355
288,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Smart Manufacturing,1837,980
289,GFTI,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Computer Science and Engineering with Major in Artificial Intelligence,1840,1348
290,NIT,National Institute of Technology Raipur,Chemical Engineering,1845,1271
291,GFTI,"National Institute of Electronics and Information Technology, Ropar (Punjab)",B.Tech in CSE (AI and ML),1857,1226
292,NIT,National Institute of Technology Hamirpur,Mechanical Engineering,1857,1784
293,NIT,National Institute of Technology Durgapur,Chemical Engineering,1866,1070
294,NIT,"National Institute of Technology, Srinagar",Electronics and Communication Engineering,1876,987
295,GFTI,"Puducherry Technological University, Puducherry",Information Technology,1882,
296,NIT,"National Institute of Technology, Uttarakhand",Electronics and Communication Engineering,1913,969
297,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),1920,
298,NIT,National Institute of Technology Patna,Civil Engineering,1928,1100
299,GFTI,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Computer Engineering,1928,977
300,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Mechanical Engineering with specialization in Design and Manufacturing,1950,1222
301,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemical Engineering,1972,1112
302,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",CSE ( Data Science & Analytics),1987,1279
303,NIT,National Institute of Technology Arunachal Pradesh,Electronics and Communication Engineering,1990,1196
304,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Metallurgical and Materials Engineering,2005,941
305,IIIT,"Indian Institute of Information Technology, Agartala",Computer Science and Engineering,2016,1314
306,IIIT,"Indian institute of information technology, Raichur, Karnataka",Mathematics and Computing,2016,1446
307,NIT,National Institute of Technology Nagaland,Electronics and Communication Engineering,2034,
308,NIT,Malaviya National Institute of Technology Jaipur,Metallurgical and Materials Engineering,2038,
309,GFTI,"Puducherry Technological University, Puducherry",Electronics and Communication Engineering,2041,1261
310,NIT,Maulana Azad National Institute of Technology Bhopal,Mechanical Engineering,2046,1034
311,GFTI,"International Institute of Information Technology, Naya Raipur",Electronics and Communication Engineering,2052,981
312,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Electronics and Communication Engineering (Internet of Things),2069,1326
313,IIIT,Indian Institute of Information Technology(IIIT) Dharwad,Electronics and Communication Engineering,2070,886
314,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Electronics and Communication Engineering,2076,803
315,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Artificial Intelligence and Data Engineering,2084,1426
316,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Electrical Engineering,2089,
317,GFTI,Sant Longowal Institute of Engineering and Technology,Artificial Intelligence and Data Science,2095,
