Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,OBC-PwD_close,Gen-PwD_close
81,83.75,NIT,219,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Y,Borderline,390,
82,83.75,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4110,Computer Science and Engineering,Y,SAFE,1740,1829
83,83.75,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",410J,Computer Science and Engineering (Cyber Security),Y,No-data,,
84,83.62,NIT,202,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Y,Good,507,1057
85,83.5,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),Y,No-data,,
86,83.5,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Y,Good,679,932
87,83.38,NIT,228,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Y,Borderline,455,548
88,83.38,NIT,220,"National Institute of Technology, Kurukshetra",4146,Information Technology,Y,Out,111,
89,83.38,GFTI,422,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,Y,No-data,,
90,83.12,NIT,224,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Y,Borderline,391,970
91,83.12,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4188,Artificial Intelligence and Data Science,Y,SAFE,1180,378
92,83.12,NIT,207,National Institute of Technology Delhi,4110,Computer Science and Engineering,Y,Out,,
93,83.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Y,Reach,361,630
94,82.75,NIT,226,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Y,Out,222,393
95,82.5,NIT,214,National Institute of Technology Patna,4110,Computer Science and Engineering,Y,Out,227,589
96,82.5,NIT,214,National Institute of Technology Patna,520I,Computer Science and Engineering with Specialization in Cyber Security,-,Borderline,431,
97,82.38,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Y,Good,611,1287
98,82.12,NIT,211,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Y,Out,257,611
99,81.88,IIIT,309,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Y,Reach,288,524
100,81.88,IIIT,309,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,-,No-data,,
101,81.88,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,Y,No-data,,
102,81.88,NIT,216,National Institute of Technology Raipur,4110,Computer Science and Engineering,Y,Out,187,439
103,81.75,NIT,226,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Y,Good,503,789
104,81.75,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,Y,SAFE,,2208
105,81.5,NIT,223,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Y,Borderline,399,712
106,81.5,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Y,Good,,1371
107,81.25,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Y,Good,672,1101
108,81.25,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4185,Artificial Intelligence,Y,SAFE,1143,704
109,81.25,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4110,Computer Science and Engineering,Y,Good,702,920
110,81.12,NIT,208,National Institute of Technology Durgapur,4111,Electrical Engineering,Y,Good,675,1478
111,81.0,NIT,214,National Institute of Technology Patna,520H,Computer Science and Engineering with Specialization in Data Science,-,Out,,
112,80.88,NIT,206,National Institute of Technology Calicut,4125,Mechanical Engineering,Y,Borderline,428,800
113,80.88,IIIT,309,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),-,No-data,,
114,80.88,IIIT,309,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Y,Out,210,255
115,80.88,IIIT,309,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,Y,No-data,,
116,80.88,IIIT,309,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Y,Out,198,210
117,80.75,NIT,226,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Y,Good,544,954
118,80.62,NIT,224,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Y,Good,,1439
119,80.62,NIT,207,National Institute of Technology Delhi,4188,Artificial Intelligence and Data Science,Y,Out,,375
120,80.62,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,Y,SAFE,1201,1470
