Priority,Tier,Type,Institute,BranchCode,Branch,Reach
189,GOOD,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4114,Electronics and Communication Engineering,SAFE
190,GOOD,NIT,National Institute of Technology Durgapur,4109,Civil Engineering,SAFE
191,GOOD,NIT,National Institute of Technology Calicut,4104,Bio Technology,Reach
192,GOOD,NIT,"National Institute of Technology, Rourkela",5503,Chemistry,Out
193,GOOD,NIT,"National Institute of Technology, Rourkela",4117,Engineering Physics,No-data
194,GOOD,GFTI,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),No-data
195,GOOD,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,SAFE
196,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,Good
197,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,Good
198,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5501,Applied Geology,No-data
199,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,SAFE
200,GOOD,NIT,"National Institute of Technology, Warangal",5503,Chemistry,Good
201,GOOD,NIT,"National Institute of Technology, Warangal",5508,Mathematics,Good
202,GOOD,NIT,"National Institute of Technology, Warangal",5507,Physics,Out
203,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,No-data
204,GOOD,NIT,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,SAFE
205,GOOD,NIT,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,Out
206,GOOD,NIT,National Institute of Technology Durgapur,4127,Metallurgical and Materials Engineering,SAFE
207,GOOD,NIT,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),No-data
208,GOOD,NIT,National Institute of Technology Calicut,4117,Engineering Physics,Good
209,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5A11,B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,SAFE
210,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4125,Mechanical Engineering,Good
211,GOOD,NIT,"National Institute of Technology, Jamshedpur",4109,Civil Engineering,Reach
212,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4180,Materials and Metallurgical Engineering,No-data
213,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,4501,Planning,Out
214,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4130,Mining Engineering,Out
215,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4104,Bio Technology,SAFE
216,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4117,Engineering Physics,No-data
217,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,No-data
218,GOOD,NIT,"National Institute of Technology, Silchar",4109,Civil Engineering,SAFE
219,GOOD,NIT,"National Institute of Technology, Kurukshetra",412A,ROBOTICS & AUTOMATION,Reach
220,GOOD,NIT,"National Institute of Technology, Kurukshetra",412D,SUSTAINABLE ENERGY TECHNOLOGIES,Out
221,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4117,Engineering Physics,No-data
222,GOOD,NIT,"National Institute of Technology, Jamshedpur",4192,Engineering and Computational Mechanics,Out
223,GOOD,NIT,"National Institute of Technology, Jamshedpur",4127,Metallurgical and Materials Engineering,Out
224,GOOD,NIT,National Institute of Technology Durgapur,4104,Bio Technology,SAFE
225,GOOD,NIT,National Institute of Technology Durgapur,5296,Biotechnology,Out
226,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3C,Chemistry,No-data
227,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4117,Engineering Physics,SAFE
228,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3E,Mathematics,No-data
229,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3D,Physics,No-data
